dtxsid,refchem_agonist,refchem_antagonist,auc_agonist,er_class,chemical,ESR1_pmi,ESR2_pmi,ESRRA_pmi,ESRRB_pmi,ESRRG_pmi,ESR1_coc,ESR2_coc,ESRRA_coc,ESRRB_coc,ESRRG_coc,n_chem
DTXSID8022377,moderate,,1.06,1.0,Alfatradiol,0.426792958387341,0.3777097590166492,0.0,0.0,0.0,157,16,0,0,0,485
DTXSID5020576,strong,inactive,1.0,1.0,Ethinyl estradiol,0.3245328554164185,0.0,0.15061371683821467,0.05231834498407829,0.0,363,0,1,1,0,4914
DTXSID2022381,strong,,0.993,1.0,meso-Hexestrol,0.3562316643318775,0.0,0.0,0.0,0.0,2,0,0,0,0,3
DTXSID3020465,strong,inactive,0.943,1.0,Diethylstilbestrol,0.3754442921545344,0.2965988977795564,0.35199036474702233,0.21345335260018042,0.0,313,22,7,5,0,2295
DTXSID0020573,,,0.935,1.0,Estradiol,0.0,0.0,0.23118770244075246,0.0,0.0,0,0,20,0,0,50558
DTXSID7047433,,,0.822,1.0,Equilin,0.3292507147246492,0.24527984236761852,0.0,0.0,0.0,20,1,0,0,0,99
DTXSID4022367,moderate,,0.807,1.0,Estrone,0.3228988948229196,0.2613835901395848,0.14637159194148125,0.0,0.0,378,29,1,0,0,5278
DTXSID9022366,,,0.786,1.0,Estriol,0.26291368519261377,0.2526451891949448,0.0,0.0,0.0,103,12,0,0,0,1966
DTXSID0020814,,,0.742,1.0,Mestranol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,90
DTXSID0021460,,,0.71,1.0,Zearalenone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2852
DTXSID8022325,,,0.568,1.0,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",0.39826334900644894,0.4054592547237923,0.0,0.0,0.0,29,5,0,0,0,64
DTXSID7037717,,,0.552,1.0,Bisphenol AF,0.28725106945059004,0.21810838159856447,0.0,0.0,0.32119745243515896,35,2,0,0,1,364
DTXSID5022308,weak,inactive,0.538,1.0,Genistein,0.36403173374064723,0.38716377002335295,0.21692676802789648,0.10981658632639585,0.0,757,141,4,4,0,8689
DTXSID9023380,,,0.524,1.0,Norethindrone,0.1712411187915619,0.17085405440944285,0.0,0.0,0.0,45,5,0,0,0,2283
DTXSID1033664,very weak,,0.495,1.0,Methyltestosterone,0.24297242495513358,0.0,0.0,0.0,0.0,36,0,0,0,0,679
DTXSID4022442,weak,,0.491,1.0,Bisphenol B,0.2489731952272372,0.21715387630732957,0.0,0.0,0.0,12,1,0,0,0,159
DTXSID0034192,,,0.475,1.0,Trenbolone,0.22635934727852408,0.0,0.0,0.0,0.0,21,0,0,0,0,437
DTXSID7020182,weak,inactive,0.45,1.0,Bisphenol A,0.3374387000546517,0.284656988677341,0.1974317296667443,0.09032154796524365,0.3899075196149091,774,69,4,4,28,11745
DTXSID9022310,,,0.44,1.0,Daidzein,0.32453218063087425,0.36039067207616926,0.22275795643693624,0.1202443198047958,0.3140707699288143,275,56,2,2,5,3402
DTXSID1046970,,,0.418,1.0,"2-(2,6-Diisopropylphenyl)-5-hydroxyisoindoline-1,3-dione",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,14
DTXSID1022508,,,0.41,1.0,4-Dodecylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID9022364,very weak,inactive,0.4,1.0,Androstanolone,0.29564243749867297,0.3166805309463057,0.0,0.11970096378944861,0.16104744593828793,306,52,0,3,1,5404
DTXSID5041306,,,0.397,1.0,"2,2',4,4'-Tetrahydroxybenzophenone",0.27150354833093815,0.24292846611630414,0.38006426874350635,0.0,0.0,11,1,1,0,0,103
DTXSID3036496,,,0.394,1.0,Norgestrel,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23693
DTXSID9022360,moderate,,0.393,1.0,4-tert-Octylphenol,0.3108780946571132,0.14468103297554213,0.0,0.0,0.29789322743448,60,1,0,0,1,539
DTXSID9036515,,,0.392,1.0,Testosterone propionate,0.20716508131896344,0.243490384644057,0.0,0.0,0.0,32,6,0,0,0,947
DTXSID6022345,weak,,0.385,1.0,"O,P'-Ddt",0.2896431302676013,0.26158598842823466,0.0,0.0,0.0,51,5,0,0,0,573
DTXSID3022320,,,0.383,1.0,Triphenylethylene,0.3940388849448003,0.0,0.0,0.0,0.0,45,0,0,0,0,125
DTXSID3022536,weak,,0.376,1.0,4-Cumylphenol,0.22665583526945515,0.0,0.0,0.0,0.45229053504359407,3,0,0,0,1,40
DTXSID4022525,,,0.37,1.0,2-Ethylhexyl 4-hydroxybenzoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3
DTXSID4020379,,,0.365,1.0,Dehydroepiandrosterone,0.20478023919501037,0.18943401433305115,0.16289178662451229,0.06037814999237183,0.0,201,20,2,2,0,8947
DTXSID1022394,,,0.356,1.0,Biochanin A,0.2603959641982381,0.27345680157440694,0.31770690612291896,0.0,0.33447320304522016,46,7,2,0,2,734
DTXSID6040747,,,0.343,1.0,Hydroxyprogesterone,0.015264696376298074,0.050406616972937315,0.0,0.0,0.0,7,1,0,0,0,2638
DTXSID2037712,,,0.319,1.0,"1,1,1-Tris(4-hydroxyphenyl)ethane",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13
DTXSID6022391,very weak,inactive,0.307,1.0,Apigenin,0.12021416791487725,0.09905804818516104,0.19491375134199374,0.0,0.16182143981257738,53,4,2,0,1,5334
DTXSID8021771,,,0.282,1.0,4-tert-Amylphenol,0.1322048370141795,0.0,0.0,0.0,0.0,3,0,0,0,0,177
DTXSID0021125,,,0.276,1.0,Phenolphthalein,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,314
DTXSID4047882,,,0.275,1.0,Phenyl 4-hydroxybenzoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7
DTXSID4022523,,,0.269,1.0,Heptyl 4-hydroxybenzoate,0.260859527302496,0.0,0.0,0.0,0.0,2,0,0,0,0,14
DTXSID0047957,,,0.268,1.0,Octyl 4-hydroxybenzoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7
DTXSID8022406,,,0.266,1.0,"2,4-Dihydroxybenzophenone",0.21553546235538637,0.0,0.0,0.0,0.0,12,0,0,0,0,257
DTXSID3022409,,,0.263,1.0,"4,4'-Sulfonyldiphenol",0.2693418445423494,0.25707340250338245,0.0,0.124082222337941,0.2916012169654207,87,10,0,1,2,1467
DTXSID9020827,very weak,,0.254,1.0,Methoxychlor,0.30288522624951053,0.29467882814673185,0.0,0.0,0.0,63,8,0,0,0,636
DTXSID7020768,very weak,,0.252,1.0,Kaempferol,0.14285344750061563,0.11772030311913104,0.2559671220087774,0.037672306177626895,0.20148309055131935,79,6,5,1,2,6289
DTXSID3020209,,,0.251,1.0,Butylparaben,0.2542827444484089,0.2491580616931023,0.0,0.0,0.0,33,4,0,0,0,524
DTXSID7025429,,,0.25,1.0,6-Hydroxy-2-naphthyl disulfide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID8021642,,,0.248,1.0,Stearic Acid,-0.05194150210411669,-0.0003603027034778444,0.0,0.0,0.0,6,1,0,0,0,6204
DTXSID9040716,,,0.248,1.0,trans-4-tert-Amylcyclohexanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID9020372,,,0.236,1.0,Mitotane,0.07955843169242462,0.0,0.0,0.0,0.0,6,0,0,0,0,857
DTXSID9022526,,,0.234,1.0,Benzyl 4-hydroxybenzoate,0.24196962393961458,0.2323939188871635,0.0,0.0,0.0,9,1,0,0,0,123
DTXSID7032553,,,0.224,1.0,Flumetralin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12
DTXSID7021152,,,0.219,1.0,4-Phenylphenol,0.26847764767609966,0.2277537070722464,0.0,0.0,0.38096590153118426,13,1,0,0,1,133
DTXSID1025017,,,0.216,1.0,Dicumyl peroxide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,125
